"","recency_weight","pct","pollster","state","start_date","end_date","pollscore","numeric_grade","sample_size"
"1",0.992748657417767,47.4,"InsiderAdvantage","Pennsylvania",2024-10-26,2024-10-27,-0.3,2,800
"2",0.992748657417767,48.4,"InsiderAdvantage","Pennsylvania",2024-10-26,2024-10-27,-0.3,2,800
"3",0.992748657417767,47,"InsiderAdvantage","Michigan",2024-10-26,2024-10-27,-0.3,2,800
"4",0.992748657417767,48,"InsiderAdvantage","Michigan",2024-10-26,2024-10-27,-0.3,2,800
"5",0.991604199298874,49.8,"Praecones Analytica","New Hampshire",2024-10-24,2024-10-26,0,2,622
"6",0.991604199298874,50.2,"Praecones Analytica","New Hampshire",2024-10-24,2024-10-26,0,2,622
"7",0.991223101737898,41,"Siena/NYT","Texas",2024-10-23,2024-10-26,-1.5,3,1180
"8",0.991223101737898,52,"Siena/NYT","Texas",2024-10-23,2024-10-26,-1.5,3,1180
"9",0.991223101737898,40,"Siena/NYT","Texas",2024-10-23,2024-10-26,-1.5,3,1180
"10",0.991223101737898,50,"Siena/NYT","Texas",2024-10-23,2024-10-26,-1.5,3,1180
"11",0.991223101737898,42,"Siena/NYT","Texas",2024-10-23,2024-10-26,-1.5,3,1180
"12",0.991223101737898,52,"Siena/NYT","Texas",2024-10-23,2024-10-26,-1.5,3,1180
"13",0.991223101737898,40,"Siena/NYT","Texas",2024-10-23,2024-10-26,-1.5,3,1180
"14",0.991223101737898,51,"Siena/NYT","Texas",2024-10-23,2024-10-26,-1.5,3,1180
"15",0.991223101737898,40,"Siena/NYT","Nebraska",2024-10-23,2024-10-26,-1.5,3,1194
"16",0.991223101737898,55,"Siena/NYT","Nebraska",2024-10-23,2024-10-26,-1.5,3,1194
"17",0.991223101737898,38,"Siena/NYT","Nebraska",2024-10-23,2024-10-26,-1.5,3,1194
"18",0.991223101737898,53,"Siena/NYT","Nebraska",2024-10-23,2024-10-26,-1.5,3,1194
"19",0.991223101737898,40,"Siena/NYT","Nebraska",2024-10-23,2024-10-26,-1.5,3,1194
"20",0.991223101737898,55,"Siena/NYT","Nebraska",2024-10-23,2024-10-26,-1.5,3,1194
"21",0.991223101737898,39,"Siena/NYT","Nebraska",2024-10-23,2024-10-26,-1.5,3,1194
"22",0.991223101737898,53,"Siena/NYT","Nebraska",2024-10-23,2024-10-26,-1.5,3,1194
"23",0.991223101737898,54,"Siena/NYT","Nebraska CD-2",2024-10-23,2024-10-26,-1.5,3,500
"24",0.991223101737898,42,"Siena/NYT","Nebraska CD-2",2024-10-23,2024-10-26,-1.5,3,500
"25",0.991223101737898,53,"Siena/NYT","Nebraska CD-2",2024-10-23,2024-10-26,-1.5,3,500
"26",0.991223101737898,41,"Siena/NYT","Nebraska CD-2",2024-10-23,2024-10-26,-1.5,3,500
"27",0.990840838740956,50,"YouGov","National",2024-10-23,2024-10-25,-1.1,3,2154
"28",0.990840838740956,49,"YouGov","National",2024-10-23,2024-10-25,-1.1,3,2154
"29",0.990840838740956,39.6,"Emerson","Montana",2024-10-23,2024-10-25,-1.1,2.9,1000
"30",0.990840838740956,58.6,"Emerson","Montana",2024-10-23,2024-10-25,-1.1,2.9,1000
"31",0.990840838740956,44.6,"St. Pete Polls","Florida",2024-10-23,2024-10-25,-0.3,2.4,1227
"32",0.990840838740956,50.3,"St. Pete Polls","Florida",2024-10-23,2024-10-25,-0.3,2.4,1227
"33",0.982456692399493,51,"CES / YouGov","National",2024-10-01,2024-10-25,-1.1,3,78247
"34",0.982456692399493,46,"CES / YouGov","National",2024-10-01,2024-10-25,-1.1,3,78247
"35",0.982456692399493,51,"CES / YouGov","National",2024-10-01,2024-10-25,-1.1,3,48732
"36",0.982456692399493,47,"CES / YouGov","National",2024-10-01,2024-10-25,-1.1,3,48732
"37",0.990458575744014,49.3,"Emerson","National",2024-10-23,2024-10-24,-1.1,2.9,1000
"38",0.990458575744014,49.3,"Emerson","National",2024-10-23,2024-10-24,-1.1,2.9,1000
"39",0.990458575744014,51.8,"Cygnal","New Jersey",2024-10-23,2024-10-24,-1.1,2.1,600
"40",0.990458575744014,40.3,"Cygnal","New Jersey",2024-10-23,2024-10-24,-1.1,2.1,600
"41",0.989314117625121,50.9,"Emerson","New Hampshire",2024-10-21,2024-10-23,-1.1,2.9,915
"42",0.989314117625121,47.2,"Emerson","New Hampshire",2024-10-21,2024-10-23,-1.1,2.9,915
"43",0.988933020064146,47,"Siena/NYT","National",2024-10-20,2024-10-23,-1.5,3,2516
"44",0.988933020064146,47,"Siena/NYT","National",2024-10-20,2024-10-23,-1.5,3,2516
"45",0.988933020064146,45,"Siena/NYT","National",2024-10-20,2024-10-23,-1.5,3,2516
"46",0.988933020064146,46,"Siena/NYT","National",2024-10-20,2024-10-23,-1.5,3,2516
"47",0.988933020064146,48,"Siena/NYT","National",2024-10-20,2024-10-23,-1.5,3,2516
